condition,mean_dice,mean_iou,mean_delta_dice,mean_delta_iou,failure_rate_05
down_up_0.25,0.800370967910671,0.6822837521890908,-0.03707155244144746,-0.057822571008909446,0.03321590337191746
blur_k7,0.8184179806817905,0.7097279797186016,-0.01902453967032796,-0.030378343479398506,0.03170608958228485
down_up_0.5,0.8277951993152758,0.723482705367545,-0.009647321036842703,-0.016623617830455184,0.03069954705586311
blur_k3,0.8312581921484408,0.7302720229331444,-0.006184328203677619,-0.009834300264855817,0.03724207347760443
gamma_0.8,0.8362242796409074,0.7381799623055699,-0.001218240711211027,-0.0019263608924302577,0.035228988424760944
noise_sigma25,0.8365157543030368,0.7377094001606961,-0.0009267660490816402,-0.002396923037304074,0.03271263210870659
noise_sigma10,0.836925992455448,0.7387624531230612,-0.0005165278966704824,-0.0013438700749389433,0.034725717161550075
clean,0.8374425203521184,0.7401063231980001,0.0,0.0,0.034725717161550075
contrast_0.8,0.838404409668855,0.7414905493638693,0.0009618893167366438,0.0013842261658690966,0.034725717161550075
gamma_1.2,0.8385704506987456,0.7417576989469673,0.0011279303466271689,0.0016513757489670915,0.035228988424760944
contrast_1.2,0.8396279680316802,0.7428200133306881,0.002185447679561785,0.0027136901326879925,0.034222445898339206
