id,case_id,z,sam_score,dice,iou,sens,spec
liver_84_z584,liver_84,584,0.9620162844657898,0.8219440027374829,0.6977121670340701,0.9993392393911215,0.9201697381621677
liver_84_z395,liver_84,395,0.8977868556976318,0.7283236994258913,0.5727272727369834,1.0,0.9992821468391551
liver_84_z433,liver_84,433,0.9589221477508545,0.9530853130136313,0.9103753389468954,0.9951638065522697,0.997665543103381
liver_84_z637,liver_84,637,1.0022008419036865,0.9328167263689358,0.8740923414168049,1.0,0.9964068438091367
liver_84_z447,liver_84,447,0.9855865836143494,0.9793599499635258,0.959554693085528,0.9899894625922129,0.99880864739921
liver_84_z552,liver_84,552,0.9413563013076782,0.8167466496370417,0.6902550915123434,1.0,0.9107609988109434
liver_84_z565,liver_84,565,0.9380227327346802,0.8443271255689524,0.7305935306170886,0.9999540261591154,0.9266423040509362
liver_84_z432,liver_84,432,0.9666963219642639,0.9436485195797966,0.8933092224233072,0.9901453148488556,0.997466397560871
liver_67_z151,liver_67,151,0.9722101092338562,0.8370864108569517,0.7198182381494785,0.9997848382700999,0.9781507729622372
liver_67_z084,liver_67,84,0.967572808265686,0.7043558850801466,0.5436337625211471,1.0,0.9975591466960488
liver_67_z099,liver_67,99,0.9804985523223877,0.9309746791537072,0.8708630759248918,0.9976211715730038,0.9961670673171039
liver_67_z128,liver_67,128,0.9536692500114441,0.9466305439251376,0.8986690647482379,0.9792646597679605,0.9903309780587584
liver_67_z100,liver_67,100,0.9806293845176697,0.919766980007997,0.8514523838707544,0.9972724662647182,0.9953248320780006
liver_67_z136,liver_67,136,0.9538895487785339,0.847547738248217,0.7354298016300848,0.9999651519375523,0.9557845858606646
liver_67_z144,liver_67,144,0.9828090071678162,0.8509180641914621,0.7405199208816784,0.9998473923162032,0.9610948871077822
liver_67_z106,liver_67,106,0.9835066199302673,0.9222253284876029,0.8556754513386017,0.9984261501210673,0.9945723243686095
liver_112_z294,liver_112,294,0.8676415085792542,0.7124304267188087,0.5533141210439004,0.9948186528498751,0.9988233406428839
liver_112_z364,liver_112,364,0.9362838864326477,0.8552664256740377,0.7471314241636549,0.9474810467107193,0.9821553533939825
liver_112_z402,liver_112,402,0.9435725808143616,0.7395889895994591,0.5867839803815037,0.9996330378817818,0.8900616625058492
liver_112_z387,liver_112,387,0.936173677444458,0.6939619317904177,0.5313489313078075,0.9996475770925112,0.8930225992325803
liver_112_z454,liver_112,454,0.9194566011428833,0.9329813755682741,0.8743815283122909,0.9924835488994802,0.9790116709565962
liver_112_z431,liver_112,431,0.9425056576728821,0.7194829831358841,0.561869130718681,1.0,0.8394682368094283
liver_112_z382,liver_112,382,0.9468526840209961,0.657706025905806,0.48998657417776353,0.9997336782833665,0.8840668192995894
liver_112_z421,liver_112,421,0.9404452443122864,0.715337730650437,0.5568294077887541,1.0,0.8445368571767373
liver_51_z132,liver_51,132,0.95469069480896,0.9423083100446593,0.8909101952805022,0.9750382237585671,0.9877573710020776
liver_51_z117,liver_51,117,0.9915067553520203,0.9517480496966394,0.9079382579934573,0.9786096256684673,0.9963373182139534
liver_51_z109,liver_51,109,0.9880189895629883,0.9664305512781235,0.9350417163290403,0.9644701253996011,0.9989921656627693
