family,level,mean_dice,std_dice,min_dice,max_dice,n
Noise(sigma),0.0,0.8528997292841667,0.13723398592792105,0.0049738870952375685,0.9869100516392537,300
Noise(sigma),5.0,0.863559083359703,0.11623688189510704,0.24273144606004077,0.9867434467038649,300
Noise(sigma),10.0,0.8652234735862688,0.11590876898409377,0.2467229828142311,0.9863685420674785,300
Noise(sigma),20.0,0.8648118167850096,0.11579424124591595,0.23489564262210044,0.9863248465213478,300
Noise(sigma),30.0,0.8600633264841109,0.11911102806470368,0.23160948193843464,0.9862486054841189,300
Blur(k),0.0,0.8528997292841667,0.13723398592792105,0.0049738870952375685,0.9869100516392537,300
Blur(k),3.0,0.8631020185180766,0.1181616370881201,0.21839473459303427,0.987872238232476,300
Blur(k),5.0,0.8659528304028472,0.11778434715131997,0.21204079940326226,0.9884257871064537,300
Blur(k),7.0,0.8684310653312363,0.11684922700162226,0.2080924855494553,0.9879719944946515,300
Blur(k),9.0,0.8643652191902356,0.12104646868415045,0.20757090112419052,0.9887573256787533,300
DownUp(scale),1.0,0.8528997292841667,0.13723398592792105,0.0049738870952375685,0.9869100516392537,300
DownUp(scale),0.75,0.8565665860227155,0.12018991865095176,0.22069442642832157,0.9870425914817115,300
DownUp(scale),0.5,0.8582022781757602,0.12265866429314744,0.19868421052662588,0.9873629993412066,300
DownUp(scale),0.35,0.8343147094857885,0.13142337312247135,0.17836785763965718,0.9868389566882108,300
DownUp(scale),0.25,0.8218014460191353,0.13405395981279924,0.18300513698659282,0.9858802502234222,300
Gamma,1.0,0.8528997292841667,0.13723398592792105,0.0049738870952375685,0.9869100516392537,300
Gamma,0.8,0.852390608326317,0.13680684713970584,0.004968944101851009,0.986629893878538,300
Gamma,0.6,0.8513263858225713,0.1369246181708369,0.005552751138299969,0.9870129870129948,300
Gamma,1.2,0.8539746942757896,0.13721884599546547,0.0049321824932060864,0.9867661212704604,300
Gamma,1.5,0.8564028947747889,0.13738467538811955,0.004920049202939926,0.986197335905017,300
Contrast(a),1.0,0.8528997292841667,0.13723398592792105,0.0049738870952375685,0.9869100516392537,300
Contrast(a),0.8,0.8531722309867183,0.13646572790486472,0.005108556835235993,0.9865465465465546,300
Contrast(a),0.6,0.8526810113278721,0.12929787085364133,0.005109862036266966,0.9863688224344044,300
Contrast(a),1.2,0.8615423554323507,0.11815093636284145,0.23430690774258955,0.9874451853186835,300
Contrast(a),1.5,0.8670754431129717,0.11374061427789132,0.2344312205926587,0.9872488872849831,300
