condition,mean_dice,mean_iou,mean_delta_dice,mean_delta_iou,failure_rate_05
down_up_0.25,0.39587742461570125,0.2531142308087943,-4.351926309168736e-05,-3.6517848311564586e-05,0.7843137254901961
noise_sigma25,0.39588853998183027,0.25312285598199735,-3.240389696264797e-05,-2.789267510853901e-05,0.7843137254901961
blur_k7,0.39589884726983937,0.25313304605236264,-2.2096608953591027e-05,-1.770260474324883e-05,0.7843137254901961
down_up_0.5,0.3959092642714628,0.25314112276671624,-1.1679607330133085e-05,-9.625890389631884e-06,0.7843137254901961
gamma_1.2,0.3959142762997318,0.2531452196258618,-6.667579061121454e-06,-5.529031244099116e-06,0.7843137254901961
blur_k3,0.3959163915636124,0.25314616512196003,-4.55231518047947e-06,-4.583535145840492e-06,0.7843137254901961
noise_sigma10,0.39592003743657167,0.2531483306841377,-9.064422212692716e-07,-2.4179729681653867e-06,0.7843137254901961
contrast_0.8,0.3959202451817124,0.2531501864923739,-6.986970804744548e-07,-5.621647319589859e-07,0.7843137254901961
clean,0.3959209438787929,0.2531507486571059,0.0,0.0,0.7843137254901961
gamma_0.8,0.39592574600730407,0.2531547883559046,4.802128511198244e-06,4.039698798691913e-06,0.7843137254901961
contrast_1.2,0.3959394705636278,0.25316571401484034,1.85266848348965e-05,1.4965357734448772e-05,0.7843137254901961
